state,district,level,name,type,total_population,total_population_males,total_population_females,population_06,population_literate,population_illiterate,total_workers,total_workers_males,total_workers_females,non_workers
28,532,district,adilabad,total,2741239,1369597,1371642,309992,1483347,1257892,1323667,748939,574728,1417572
28,532,district,adilabad,rural,1980980,985303,995677,234207,965707,1015273,1059249,555137,504112,921731
28,532,district,adilabad,urban,760259,384294,375965,75785,517640,242619,264418,193802,70616,495841
9,146,district,agra,total,4418797,2364953,2053844,673955,2680510,1738287,1389844,1119701,270143,3028953
9,146,district,agra,rural,2394602,1285184,1109418,409971,1401109,993493,740408,594479,145929,1654194
9,146,district,agra,urban,2024195,1079769,944426,263984,1279401,744794,649436,525222,124214,1374759
24,474,district,ahmadabad,total,7214225,3788051,3426174,842518,5435760,1778465,2594952,2127547,467405,4619273
24,474,district,ahmadabad,rural,1151178,595583,555595,161607,703078,448100,473224,341534,131690,677954
24,474,district,ahmadabad,urban,6063047,3192468,2870579,680911,4732682,1330365,2121728,1786013,335715,3941319
27,522,district,ahmadnagar,total,4543159,2342825,2200334,556014,3151890,1391269,2204590,1300309,904281,2338569
27,522,district,ahmadnagar,rural,3630542,1872907,1757635,450473,2445147,1185395,1875818,1052563,823255,1754724
27,522,district,ahmadnagar,urban,912617,469918,442699,105541,706743,205874,328772,247746,81026,583845
15,283,district,aizawl,total,400309,199270,201039,52357,340595,59714,174636,104643,69993,225673
15,283,district,aizawl,rural,85555,43780,41775,13178,69775,15780,44412,25345,19067,41143
15,283,district,aizawl,urban,314754,155490,159264,39179,270820,43934,130224,79298,50926,184530
8,119,district,ajmer,total,2583052,1324085,1258967,381167,1526673,1056379,1053722,686149,367573,1529330
8,119,district,ajmer,rural,1547642,789397,758245,253762,765022,782620,713459,406505,306954,834183
8,119,district,ajmer,urban,1035410,534688,500722,127405,761651,273759,340263,279644,60619,695147
27,501,district,akola,total,1813906,932334,881572,211080,1411281,402625,768154,520362,247792,1045752
27,501,district,akola,rural,1094165,563933,530232,129187,829355,264810,529354,326674,202680,564811
27,501,district,akola,urban,719741,368401,351340,81893,581926,137815,238800,193688,45112,480941
32,598,district,alappuzha,total,2127789,1013142,1114647,192046,1852797,274992,804471,536738,267733,1323318
32,598,district,alappuzha,rural,979643,464713,514930,89414,852470,127173,371442,244185,127257,608201
32,598,district,alappuzha,urban,1148146,548429,599717,102632,1000327,147819,433029,292553,140476,715117
9,143,district,aligarh,total,3673889,1951996,1721893,574509,2092567,1581322,1174361,929337,245024,2499528
9,143,district,aligarh,rural,2456698,1308923,1147775,403098,1382995,1073703,815516,624864,190652,1641182
9,143,district,aligarh,urban,1217191,643073,574118,171411,709572,507619,358845,304473,54372,858346
23,465,district,alirajpur,total,728999,362542,366457,147961,209754,519245,366797,188698,178099,362202
23,465,district,alirajpur,rural,671925,333593,338332,139536,170812,501113,346934,174050,172884,324991
23,465,district,alirajpur,urban,57074,28949,28125,8425,38942,18132,19863,14648,5215,37211
9,175,district,allahabad,total,5954391,3131807,2822584,885355,3665727,2288664,2111907,1426110,685797,3842484
9,175,district,allahabad,rural,4481518,2340959,2140559,722406,2584919,1896599,1620347,1049906,570441,2861171
9,175,district,allahabad,urban,1472873,790848,682025,162949,1080808,392065,491560,376204,115356,981313
5,64,district,almora,total,622506,291081,331425,80082,436497,186009,298211,142460,155751,324295
5,64,district,almora,rural,560192,257359,302833,74375,383089,177103,276913,124715,152198,283279
5,64,district,almora,urban,62314,33722,28592,5707,53408,8906,21298,17745,3553,41016
8,104,district,alwar,total,3674179,1939026,1735153,587959,2182476,1491703,1708542,994171,714371,1965637
8,104,district,alwar,rural,3019728,1589508,1430220,502526,1707998,1311730,1487935,816267,671668,1531793
8,104,district,alwar,urban,654451,349518,304933,85433,474478,179973,220607,177904,42703,433844
6,70,district,ambala,total,1128350,598703,529647,127689,818025,310325,372139,320120,52019,756211
6,70,district,ambala,rural,627576,331703,295873,74425,426642,200934,195846,173164,22682,431730
6,70,district,ambala,urban,500774,267000,233774,53264,391383,109391,176293,146956,29337,324481
9,178,district,ambedkarnagar,total,2397888,1212410,1185478,339229,1486939,910949,787398,547406,239992,1610490
9,178,district,ambedkarnagar,rural,2117158,1067762,1049396,302151,1299666,817492,702712,479216,223496,1414446
9,178,district,ambedkarnagar,urban,280730,144648,136082,37078,187273,93457,84686,68190,16496,196044
27,503,district,amravati,total,2888445,1480768,1407677,311391,2251875,636570,1236322,837577,398745,1652123
27,503,district,amravati,rural,1851158,950633,900525,204552,1400695,450463,892101,558217,333884,959057
27,503,district,amravati,urban,1037287,530135,507152,106839,851180,186107,344221,279360,64861,693066
24,480,district,amreli,total,1514190,771049,743141,173555,995459,518731,657139,453642,203497,857051
24,480,district,amreli,rural,1127555,572554,555001,131321,715043,412512,524713,343430,181283,602842
24,480,district,amreli,urban,386635,198495,188140,42234,280416,106219,132426,110212,22214,254209
3,49,district,amritsar,total,2490656,1318408,1172248,281795,1684770,805886,917856,735195,182661,1572800
3,49,district,amritsar,rural,1156045,607266,548779,142172,689447,466598,423214,332652,90562,732831
3,49,district,amritsar,urban,1334611,711142,623469,139623,995323,339288,494642,402543,92099,839969
24,482,district,anand,total,2092745,1087224,1005521,254008,1551253,541492,844794,627561,217233,1247951
24,482,district,anand,rural,1457758,758499,699259,184036,1053110,404648,621012,445245,175767,836746
24,482,district,anand,urban,634987,328725,306262,69972,498143,136844,223782,182316,41466,411205
28,553,district,anantapur,total,4081148,2064495,2016653,445956,2310960,1770188,2036166,1208544,827622,2044982
28,553,district,anantapur,rural,2935437,1489157,1446280,323884,1546394,1389043,1595941,888467,707474,1339496
28,553,district,anantapur,urban,1145711,575338,570373,122072,764566,381145,440225,320077,120148,705486
1,14,district,anantnag,total,1078692,559767,518925,208538,545532,533160,389684,244032,145652,689008
1,14,district,anantnag,rural,795805,411012,384793,161396,375859,419946,295948,175987,119961,499857
1,14,district,anantnag,urban,282887,148755,134132,47142,169673,113214,93736,68045,25691,189151
35,0,state,andamanandnicobarislands,total,380581,202871,177710,40878,294281,86300,152535,120889,31646,228046
35,0,state,andamanandnicobarislands,rural,237093,126287,110806,26415,178025,59068,94469,74670,19799,142624
35,0,state,andamanandnicobarislands,urban,143488,76584,66904,14463,116256,27232,58066,46219,11847,85422
28,0,state,andhrapradesh,total,49338786,24757918,24580868,5333301,29491443,19847343,22996695,14108263,8888431,26342091
28,0,state,andhrapradesh,rural,56361702,28243241,28118461,6152022,30351065,26010637,29052307,16498189,12554118,27309395
28,0,state,andhrapradesh,urban,28219075,14198905,14020170,2990780,20205695,8013380,10370599,7687406,2683193,17848476
12,260,district,anjaw,total,21167,11507,9660,3472,9990,11177,10501,6224,4277,10666
12,260,district,anjaw,rural,20185,10882,9303,3389,9268,10917,10031,5812,4219,10154
12,260,district,anjaw,urban,982,625,357,83,722,260,470,412,58,512
21,384,district,anugul,total,1273821,655718,618103,152403,869456,404365,526520,360947,165573,747301
21,384,district,anugul,rural,1067275,546385,520890,130583,709069,358206,455627,301993,153634,611648
21,384,district,anugul,urban,206546,109333,97213,21820,160387,46159,70893,58954,11939,135653
23,461,district,anuppur,total,749237,379114,370123,106071,436595,312642,346471,207401,139070,402766
23,461,district,anuppur,rural,543996,272030,271966,82311,290893,253103,284804,156443,128361,259192
23,461,district,anuppur,urban,205241,107084,98157,23760,145702,59539,61667,50958,10709,143574
10,209,district,araria,total,2811569,1463333,1348236,577886,1195768,1615801,1069893,708391,361502,1741676
10,209,district,araria,rural,2642792,1374254,1268538,549701,1094403,1548389,1018210,666953,351257,1624582
10,209,district,araria,urban,168777,89079,79698,28185,101365,67412,51683,41438,10245,117094
33,616,district,ariyalur,total,754894,374703,380191,81187,480604,274290,359851,212547,147304,395043
33,616,district,ariyalur,rural,671100,333253,337847,72575,419413,251687,328972,190203,138769,342128
33,616,district,ariyalur,urban,83794,41450,42344,8612,61191,22603,30879,22344,8535,52915
12,0,state,arunachalpradesh,total,1383727,713912,669815,212188,766005,617722,587657,350273,237384,796070
12,0,state,arunachalpradesh,rural,1066358,546011,520347,172289,535902,530456,470315,264790,205525,596043
12,0,state,arunachalpradesh,urban,317369,167901,149468,39899,230103,87266,117342,85483,31859,200027
10,240,district,arwal,total,700843,363497,337346,127841,386351,314492,236354,167991,68363,464489
10,240,district,arwal,rural,648994,336420,312574,118647,354235,294759,222026,156296,65730,426968
10,240,district,arwal,urban,51849,27077,24772,9194,32116,19733,14328,11695,2633,37521
23,459,district,ashoknagar,total,845071,443837,401234,138787,469109,375962,315270,231829,83441,529801
23,459,district,ashoknagar,rural,691387,363411,327976,116890,366314,325073,265421,191602,73819,425966
23,459,district,ashoknagar,urban,153684,80426,73258,21897,102795,50889,49849,40227,9622,103835
18,0,state,assam,total,31205576,15939443,15266133,4638130,19177977,12027599,11969690,8541560,3428130,19235886
18,0,state,assam,rural,26807034,13678989,13128045,4187323,15685436,11121598,10368283,7257852,3110431,16438751
18,0,state,assam,urban,4398542,2260454,2138088,450807,3492541,906001,1601407,1283708,317699,2797135
9,162,district,auraiya,total,1379545,740040,639505,200517,930836,448709,442023,364543,77480,937522
9,162,district,auraiya,rural,1145323,616494,528829,170402,755923,389400,374577,306420,68157,770746
9,162,district,auraiya,urban,234222,123546,110676,30115,174913,59309,67446,58123,9323,166776
10,235,district,aurangabad,total,2540073,1318684,1221389,455394,1466002,1074071,837770,599157,238613,1702303
10,235,district,aurangabad,rural,2303219,1194619,1108600,418320,1308038,995181,772533,546328,226205,1530686
10,235,district,aurangabad,urban,236854,124065,112789,37074,157964,78890,65237,52829,12408,171617
27,515,district,aurangabad,total,3701282,1924469,1776813,532659,2503837,1197445,1575079,1015864,559215,2126203
27,515,district,aurangabad,rural,2081112,1081825,999287,306364,1293330,787782,1044684,593644,451040,1036428
27,515,district,aurangabad,urban,1620170,842644,777526,226295,1210507,409663,530395,422220,108175,1089775
9,191,district,azamgarh,total,4613913,2285004,2328909,706085,2771917,1841996,1372032,941890,430142,3241881
9,191,district,azamgarh,rural,4220512,2082707,2137805,649973,2511143,1709369,1253698,854072,399626,2966814
9,191,district,azamgarh,urban,393401,202297,191104,56112,260774,132627,118334,87818,30516,275067
1,2,district,badgam,total,753745,398041,355704,155202,335649,418096,214866,162578,52288,538879
1,2,district,badgam,rural,655833,343385,312448,140608,278265,377568,181768,134569,47199,474065
1,2,district,badgam,urban,97912,54656,43256,14594,57384,40528,33098,28009,5089,64814
29,556,district,bagalkot,total,1889752,950111,939641,271908,1113412,776340,818081,511575,306506,1071671
29,556,district,bagalkot,rural,1291906,650267,641639,193893,704912,586994,595392,351296,244096,696514
29,556,district,bagalkot,urban,597846,299844,298002,78015,408500,189346,222689,160279,62410,375157
5,63,district,bageshwar,total,259898,124326,135572,35560,179483,80415,123638,58708,64930,136260
5,63,district,bageshwar,rural,250819,119615,131204,34545,172166,78653,120867,56472,64395,129952
5,63,district,bageshwar,urban,9079,4711,4368,1015,7317,1762,2771,2236,535,6308
9,139,district,baghpat,total,1303048,700070,602978,194979,797970,505078,416695,342604,74091,886353
