state,total_population,total_population_males,total_population_females,population_06,population_literate,population_illiterate,total_workers,total_workers_males,total_workers_females,non_workers
andamanandnicobarislands,380581,202871,177710,40878,294281,86300,152535,120889,31646,228046
andhrapradesh,49338786,24757918,24580868,5333301,29491443,19847343,22996695,14108263,8888431,26342091
arunachalpradesh,1383727,713912,669815,212188,766005,617722,587657,350273,237384,796070
assam,31205576,15939443,15266133,4638130,19177977,12027599,11969690,8541560,3428130,19235886
bihar,104099452,54278157,49821295,19133964,52504553,51594899,34724987,25222189,9502798,69374465
chandigarh,1055450,580663,474787,119434,805438,250012,404136,328159,75977,651314
chhatisgarh,25545198,12832895,12712303,3661689,15379922,10165276,12180225,7133866,5046359,13364973
dadraandnagarhavelianddamananddiu,586956,344061,242895,77829,411636,175320,278432,226727,51705,308524
delhi,16787941,8987326,7800615,2012454,12737767,4050174,5587049,4762026,825023,11200892
goa,1458545,739140,719405,144611,1165487,293058,577248,419536,157712,881297
gujarat,60439692,31491260,28948432,7777262,41093358,19346334,24767747,18000914,6766833,35671945
haryana,25351462,13494734,11856728,3380721,16598988,8752474,8916508,6806636,2109872,16434954
himachalpradesh,6864602,3481873,3382729,777898,5039736,1824866,3559422,2043373,1516049,3305180
jammuandkashmir,12267013,6483906,12423769,6608718,12361296,6546379,12414350,6547558,12507454,6493325
jharkhand,32988134,16930315,16057819,5389495,18328069,14660065,13098274,8424769,4673505,19889860
karnataka,61095297,30966657,30128640,7161033,40647322,20447975,27872597,18270116,9602481,33222700
kerala,33406061,16027412,17378649,3472955,28135824,5270237,11619063,8451569,3167494,21786998
lakshadweep,64473,33123,31350,7255,52553,11920,18753,15318,3435,45720
madhyapradesh,72626809,37612306,35014503,10809395,42851169,29775640,31574133,20146970,11427163,41052676
maharashtra,112374333,58243056,54131277,13326517,81554290,30820043,49427878,32616875,16811003,62946455
manipur,2855794,1438586,1417208,375357,1908476,947318,1304610,739408,565202,1551184
meghalaya,2966889,1491832,1475057,568536,1785005,1181884,1185619,703709,481910,1781270
mizoram,1097206,555339,541867,168531,848175,249031,486705,290740,195965,610501
nagaland,1978502,1024649,953853,291071,1342434,636068,974122,547357,426765,1004380
odisha,41974218,21212136,20762082,5273194,26742595,15231623,17541589,11902655,5638934,24432629
puducherry,1247953,612511,635442,132858,957309,290644,444968,332931,112037,802985
punjab,27743338,14639465,13103873,3076219,18707137,9036201,9897362,8074157,1823205,17845976
rajasthan,68548437,35550997,32997440,10649504,38275282,30273155,29886255,18297076,11589179,38662182
sikkim,610577,323070,287507,64111,444952,165625,308138,194358,113780,302439
tamilnadu,72147030,36137975,36009055,7423832,51837507,20309523,32884681,21434978,11449703,39262349
tripura,3673917,1874376,1799541,458014,2804783,869134,1469521,1045326,424195,2204396
uttarakhand,10086292,5137773,4948519,1355814,6880953,3205339,3872275,2551921,1320354,6214017
uttarpradesh,199812341,104480510,95331831,30791331,114397555,85414786,65814715,49846762,15967953,133997626
westbengal,91276115,46809027,44467088,10581466,61538281,29737834,34756355,26716047,8040308,56519760
ladakh,274289,156756,117533,31944,180006,94283,126952,93104,33848,147337
telangana,35241990,17684227,17557762,3809500,21065316,14176673,16426210,10077331,6348879,18815779
