pin_prefix,states,districts
110,delhi,"centraldelhi, eastdelhi, newdelhi, northdelhi, northeastdelhi, northwestdelhi, southdelhi, southeastdelhi, southwestdelhi, westdelhi"
121,haryana,"faridabad, palwal"
122,haryana,"gurugram, nuh"
123,haryana,"mahendragarh, rewari"
124,haryana,"jhajjar, rohtak"
125,haryana,"fatehabad, hisar, sirsa"
126,haryana,jind
127,haryana,"bhiwani, charkhidadri"
131,haryana,sonipat
132,haryana,"karnal, panipat"
133,haryana,ambala
134,haryana,"ambala, panchkula"
135,haryana,yamunanagar
136,haryana,"kaithal, kurukshetra"
140,punjab,"fatehgarhsahib, rupnagar, sahibzadaajitsinghnagar"
141,punjab,ludhiana
142,punjab,moga
143,punjab,"amritsar, gurdaspur, tarntaran"
144,punjab,"jalandhar, kapurthala, shahidbhagatsinghnagar"
145,punjab,pathankot
146,punjab,hoshiarpur
147,punjab,patiala
148,punjab,"barnala, malerkotla, sangrur"
151,punjab,"bathinda, faridkot, mansa"
152,punjab,"fazilka, ferozepur, srimuktsarsahib"
160,"chandigarh, punjab","chandigarh, sahibzadaajitsinghnagar"
171,himachalpradesh,shimla
172,himachalpradesh,kinnaur
173,himachalpradesh,"sirmaur, solan"
174,himachalpradesh,"bilaspur, una"
175,himachalpradesh,"kullu, lahaulandspiti, mandi"
176,himachalpradesh,"chamba, kangra"
177,himachalpradesh,hamirpur
180,jammuandkashmir,jammu
182,jammuandkashmir,"doda, kishtwar, ramban, reasi, udhampur"
184,jammuandkashmir,"kathua, samba"
185,jammuandkashmir,"poonch, rajouri"
190,jammuandkashmir,srinagar
191,jammuandkashmir,"budgam, ganderbal"
192,jammuandkashmir,"anantnag, kulgam, pulwama, shopian"
193,jammuandkashmir,"bandipora, baramulla, kupwara"
194,ladakh,"kargil, leh"
201,uttarpradesh,"gautambuddhanagar, ghaziabad"
202,uttarpradesh,aligarh
203,uttarpradesh,"bulandshahr, gautambuddhanagar"
204,uttarpradesh,hathras
205,uttarpradesh,mainpuri
206,uttarpradesh,"auraiya, etawah"
207,uttarpradesh,"etah, kasganj"
208,uttarpradesh,kanpurnagar
209,uttarpradesh,"farrukhabad, kannauj, kanpurdehat, unnao"
210,uttarpradesh,"banda, chitrakoot, hamirpur, mahoba"
211,uttarpradesh,prayagraj
212,uttarpradesh,"fatehpur, kaushambi"
221,uttarpradesh,"bhadohi, varanasi"
222,uttarpradesh,jaunpur
224,uttarpradesh,"ambedkarnagar, ayodhya"
225,uttarpradesh,barabanki
226,uttarpradesh,lucknow
227,uttarpradesh,amethi
228,uttarpradesh,sultanpur
229,uttarpradesh,raebareli
230,uttarpradesh,pratapgarh
231,uttarpradesh,"mirzapur, sonbhadra"
232,uttarpradesh,chandauli
233,uttarpradesh,ghazipur
241,uttarpradesh,hardoi
242,uttarpradesh,shahjahanpur
243,uttarpradesh,"badaun, bareilly"
244,uttarpradesh,"amroha, moradabad, rampur, sambhal"
245,uttarpradesh,hapur
