state,state_map,district,district_map
Andaman & Nicobar Islands,Andaman and Nicobar Islands,Andamans,North And Middle Andaman
Andaman & Nicobar Islands,Andaman and Nicobar Islands,Nicobars,Nicobar
Andaman & Nicobar Islands,Andaman and Nicobar Islands,South Andaman,South Andaman
Andaman and Nicobar Islands,Andaman and Nicobar Islands,Nicobar,Nicobar
Andaman and Nicobar Islands,Andaman and Nicobar Islands,North And Middle Andaman,North And Middle Andaman
Andaman and Nicobar Islands,Andaman and Nicobar Islands,South Andaman,South Andaman
Andhra Pradesh,Andhra Pradesh,Adilabad,Adilabad
Andhra Pradesh,Andhra Pradesh,Alluri Sitharama Raju,Alluri Sitharama Raju
Andhra Pradesh,Andhra Pradesh,Anakapalli,Anakapalli
Andhra Pradesh,Andhra Pradesh,Anantapur,Ananthapuram
Andhra Pradesh,Andhra Pradesh,Ananthapur,Ananthapuram
Andhra Pradesh,Andhra Pradesh,Ananthapuramu,Ananthapuram
Andhra Pradesh,Andhra Pradesh,Annamayya,Annamayya
Andhra Pradesh,Andhra Pradesh,Bapatla,Bapatla
Andhra Pradesh,Andhra Pradesh,Chittoor,Chittoor
Andhra Pradesh,Andhra Pradesh,Cuddapah,Cuddapah
Andhra Pradesh,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,Dr. B. R. Ambedkar Konaseema
Andhra Pradesh,Andhra Pradesh,East Godavari,East Godavari
Andhra Pradesh,Andhra Pradesh,Eluru,Eluru
Andhra Pradesh,Andhra Pradesh,Guntur,Guntur
Andhra Pradesh,Andhra Pradesh,Hyderabad,Hyderabad
Andhra Pradesh,Andhra Pradesh,K.V.Rangareddy,K.V.Rangareddy
Andhra Pradesh,Andhra Pradesh,K.v. Rangareddy,K.V.Rangareddy
Andhra Pradesh,Andhra Pradesh,Kakinada,Kakinada
Andhra Pradesh,Telangana,Karim Nagar,Karim Nagar
Andhra Pradesh,Telangana,Karimnagar,Karim Nagar
Andhra Pradesh,Telangana,Khammam,Khammam
Andhra Pradesh,Andhra Pradesh,Krishna,Krishna
Andhra Pradesh,Andhra Pradesh,Kurnool,Kurnool
Andhra Pradesh,Telangana,Mahabub Nagar,Mahabub Nagar
Andhra Pradesh,Telangana,Mahabubnagar,Mahabub Nagar
Andhra Pradesh,Telangana,Mahbubnagar,Mahabub Nagar
Andhra Pradesh,Telangana,Medak,Medak
Andhra Pradesh,Andhra Pradesh,N. T. R,N. T. R
Andhra Pradesh,Telangana,Nalgonda,Nalgonda
Andhra Pradesh,Andhra Pradesh,Nandyal,Nandyal
Andhra Pradesh,Andhra Pradesh,Nellore,Sri Potti Sriramulu Nellore
Andhra Pradesh,Telangana,Nizamabad,Nizamabad
Andhra Pradesh,Andhra Pradesh,Palnadu,Palnadu
Andhra Pradesh,Andhra Pradesh,Parvathipuram Manyam,Parvathipuram Manyam
Andhra Pradesh,Andhra Pradesh,Prakasam,Prakasam
Andhra Pradesh,Andhra Pradesh,Rangareddi,K.V.Rangareddy
Andhra Pradesh,Andhra Pradesh,Sri Potti Sriramulu Nellore,Sri Potti Sriramulu Nellore
Andhra Pradesh,Andhra Pradesh,Sri Sathya Sai,Sri Sathya Sai
Andhra Pradesh,Andhra Pradesh,Srikakulam,Srikakulam
Andhra Pradesh,Andhra Pradesh,Tirupati,Tirupati
Andhra Pradesh,Andhra Pradesh,Visakhapatnam,Visakhapatnam
Andhra Pradesh,Andhra Pradesh,Vizianagaram,Vizianagaram
Andhra Pradesh,Telangana,Warangal,Warangal
Andhra Pradesh,Andhra Pradesh,West Godavari,West Godavari
Andhra Pradesh,Andhra Pradesh,Y. S. R,Y. S. R Kadapa
Arunachal Pradesh,Arunachal Pradesh,Anjaw,Anjaw
Arunachal Pradesh,Arunachal Pradesh,Changlang,Changlang
Arunachal Pradesh,Arunachal Pradesh,Dibang Valley,Dibang Valley
Arunachal Pradesh,Arunachal Pradesh,East Kameng,East Kameng
Arunachal Pradesh,Arunachal Pradesh,East Siang,East Siang
Arunachal Pradesh,Arunachal Pradesh,Kamle,Kamle
Arunachal Pradesh,Arunachal Pradesh,Kra Daadi,Kra Daadi
Arunachal Pradesh,Arunachal Pradesh,Kurung Kumey,Kurung Kumey
Arunachal Pradesh,Arunachal Pradesh,Leparada,Leparada
Arunachal Pradesh,Arunachal Pradesh,Lohit,Lohit
Arunachal Pradesh,Arunachal Pradesh,Longding,Longding
Arunachal Pradesh,Arunachal Pradesh,Lower Dibang Valley,Lower Dibang Valley
Arunachal Pradesh,Arunachal Pradesh,Lower Siang,Lower Siang
Arunachal Pradesh,Arunachal Pradesh,Lower Subansiri,Lower Subansiri
Arunachal Pradesh,Arunachal Pradesh,Namsai,Namsai
Arunachal Pradesh,Arunachal Pradesh,Pakke Kessang,Pakke Kessang
Arunachal Pradesh,Arunachal Pradesh,Papum Pare,Papum Pare
Arunachal Pradesh,Arunachal Pradesh,Shi-yomi,Shi-yomi
Arunachal Pradesh,Arunachal Pradesh,Siang,Siang
Arunachal Pradesh,Arunachal Pradesh,Tawang,Tawang
Arunachal Pradesh,Arunachal Pradesh,Tirap,Tirap
Arunachal Pradesh,Arunachal Pradesh,Upper Siang,Upper Siang
Arunachal Pradesh,Arunachal Pradesh,Upper Subansiri,Upper Subansiri
Arunachal Pradesh,Arunachal Pradesh,West Kameng,West Kameng
Arunachal Pradesh,Arunachal Pradesh,West Siang,West Siang
Assam,Assam,Bajali,Bajali
Assam,Assam,Baksa,Baksa
Assam,Assam,Barpeta,Barpeta
Assam,Assam,Biswanath,Biswanath
Assam,Assam,Bongaigaon,Bongaigaon
Assam,Assam,Cachar,Cachar
Assam,Assam,Charaideo,Charaideo
Assam,Assam,Chirang,Chirang
Assam,Assam,Darrang,Darrang
Assam,Assam,Dhemaji,Dhemaji
Assam,Assam,Dhubri,Dhubri
Assam,Assam,Dibrugarh,Dibrugarh
Assam,Assam,Dima Hasao,Dima Hasao
Assam,Assam,Goalpara,Goalpara
Assam,Assam,Golaghat,Golaghat
Assam,Assam,Hailakandi,Hailakandi
Assam,Assam,Hojai,Hojai
Assam,Assam,Jorhat,Jorhat
Assam,Assam,Kamrup,Kamrup
Assam,Assam,Kamrup Metro,Kamrup Metro
Assam,Assam,Karbi Anglong,Karbi Anglong
Assam,Assam,Karimganj,Karimganj
Assam,Assam,Kokrajhar,Kokrajhar
Assam,Assam,Lakhimpur,Lakhimpur
Assam,Assam,Majuli,Majuli
Assam,Assam,Marigaon,Marigaon
Assam,Assam,Nagaon,Nagaon
Assam,Assam,Nalbari,Nalbari
Assam,Assam,North Cachar Hills,Dima Hasao
Assam,Assam,Sibsagar,Sibsagar
Assam,Assam,Sonitpur,Sonitpur
Assam,Assam,South Salmara Mankachar,South Salmara Mankachar
Assam,Assam,Sribhumi,Sribhumi
Assam,Assam,Tamulpur District,Tamulpur
Assam,Assam,Tinsukia,Tinsukia
Assam,Assam,Udalguri,Udalguri
Assam,Assam,West Karbi Anglong,West Karbi Anglong
Bihar,Bihar,Araria,Araria
Bihar,Bihar,Arwal,Arwal
Bihar,Bihar,Aurangabad,Aurangabad
Bihar,Bihar,Aurangabad(bh),Aurangabad
Bihar,Bihar,Banka,Banka
Bihar,Bihar,Begusarai,Begusarai
Bihar,Bihar,Bhabua,Kaimur
Bihar,Bihar,Bhagalpur,Bhagalpur
Bihar,Bihar,Bhojpur,Bhojpur
Bihar,Bihar,Buxar,Buxar
Bihar,Bihar,Darbhanga,Darbhanga
Bihar,Bihar,East Champaran,East Champaran
