state,Unified_Priority_Score,Action_Plan
delhi,69.4930813297305,PRIVACY: Rollout Offline-XML & Masked Aadhaar Campaign
chhatisgarh,63.70088298231215,INCLUSION: Mobile Anganwadi Enrollment Drive
uttarpradesh,57.88763046919002,INCLUSION: Mobile Anganwadi Enrollment Drive
maharashtra,56.704867360405835,MAINTENANCE: Optimize Digital Self-Service Kiosks
bihar,52.39603707992413,INCLUSION: Mobile Anganwadi Enrollment Drive
madhyapradesh,47.87893501648047,MAINTENANCE: Optimize Digital Self-Service Kiosks
manipur,47.225659435283234,MAINTENANCE: Optimize Digital Self-Service Kiosks
rajasthan,44.56588944458433,INCLUSION: Mobile Anganwadi Enrollment Drive
jharkhand,43.67269297687646,INCLUSION: Mobile Anganwadi Enrollment Drive
haryana,43.309176187478116,INCLUSION: Mobile Anganwadi Enrollment Drive
tamilnadu,40.73128859565564,MAINTENANCE: Optimize Digital Self-Service Kiosks
westbengal,39.96580484699304,INCLUSION: Mobile Anganwadi Enrollment Drive
chandigarh,39.747350747086074,MAINTENANCE: Optimize Digital Self-Service Kiosks
andhrapradesh,38.784424732420405,MAINTENANCE: Optimize Digital Self-Service Kiosks
jammuandkashmir,38.135823688974455,INCLUSION: Mobile Anganwadi Enrollment Drive
gujarat,37.28670568820618,INCLUSION: Mobile Anganwadi Enrollment Drive
punjab,35.66404250248476,MAINTENANCE: Optimize Digital Self-Service Kiosks
odisha,35.2661053093525,MAINTENANCE: Optimize Digital Self-Service Kiosks
telangana,34.261833042045964,MAINTENANCE: Optimize Digital Self-Service Kiosks
karnataka,33.95036130873776,INCLUSION: Mobile Anganwadi Enrollment Drive
uttarakhand,33.847694245900776,INCLUSION: Mobile Anganwadi Enrollment Drive
mizoram,33.291170008037724,MAINTENANCE: Optimize Digital Self-Service Kiosks
tripura,32.18102129861629,MAINTENANCE: Optimize Digital Self-Service Kiosks
dadraandnagarhavelianddamananddiu,31.058285390314623,INCLUSION: Mobile Anganwadi Enrollment Drive
kerala,28.822248085122858,INCLUSION: Mobile Anganwadi Enrollment Drive
nagaland,27.64646729546047,INCLUSION: Mobile Anganwadi Enrollment Drive
assam,27.11376386150906,INCLUSION: Mobile Anganwadi Enrollment Drive
puducherry,25.491038625011463,INCLUSION: Mobile Anganwadi Enrollment Drive
arunachalpradesh,25.32228914833253,INCLUSION: Mobile Anganwadi Enrollment Drive
meghalaya,24.803506776908634,INCLUSION: Mobile Anganwadi Enrollment Drive
himachalpradesh,24.498131404391085,MAINTENANCE: Optimize Digital Self-Service Kiosks
sikkim,23.573403782861448,MAINTENANCE: Optimize Digital Self-Service Kiosks
lakshadweep,23.475862201461695,MAINTENANCE: Optimize Digital Self-Service Kiosks
ladakh,21.869794824954074,INCLUSION: Mobile Anganwadi Enrollment Drive
goa,21.2230331907564,MAINTENANCE: Optimize Digital Self-Service Kiosks
andamanandnicobarislands,20.489157994901557,MAINTENANCE: Optimize Digital Self-Service Kiosks
