date,state,pincode,total_updates,surge_multiplier,ASI,district
2025-01-06,chhatisgarh,497225,11210.0,90.2434714313764,11210.0,"balrampur, surajpur, surguja"
2025-06-01,chhatisgarh,491888,9093.0,81.96835514653189,9093.0,"kawardha, rajnandgaon, khairagarhchhuikhadangandai, bemetara"
2025-01-07,telangana,501141,3541.0,59.74690663667042,3541.0,"rangareddy, vikarabad, kvrangareddy, jayashankarbhupalpally"
2025-01-06,chhatisgarh,491661,5853.0,58.47260357930865,5853.0,"rajnandgaon, balod, gariyaband"
2025-01-07,chandigarh,160014,6135.0,57.91238049134697,6135.0,"chandigarh, rupnagar"
2025-01-07,manipur,795130,2824.0,54.22485419470615,2824.0,"imphaleast, imphalwest, thoubal, senapati"
2025-01-03,bihar,853204,5054.0,54.17600203372596,5054.0,"bhagalpur, madhepura, purnia, katihar, munger, banka"
2025-01-07,punjab,160103,1613.0,51.67649931627271,1613.0,"sasnagarmohali, rupnagar"
2025-01-03,telangana,500085,809.0,51.211704986563156,809.0,"hyderabad, medchalmalkajgiri, rangareddy, kvrangareddy"
2025-01-07,telangana,500090,2723.0,51.17490148529858,6.69041769041769,"medchalmalkajgiri, rangareddy, kvrangareddy"
2025-01-06,chhatisgarh,491558,6612.0,51.155812701829916,6612.0,"rajnandgaon, gariyaband"
2025-01-03,meghalaya,793120,1440.0,51.03598691384951,1440.0,"westkhasihills, easternwestkhasihills, eastkhasihills, southwestkhasihills"
2025-01-07,manipur,795008,4247.0,50.74304295220811,4247.0,"imphaleast, imphalwest, senapati"
2025-01-03,jharkhand,822124,6612.0,50.06859688195991,6612.0,"garhwa, palamu"
2025-01-03,jharkhand,822115,3436.0,50.02698863636363,3436.0,"garhwa, palamu"
2025-01-03,rajasthan,321202,1885.0,49.774275979557075,1885.0,"bharatpur, deeg"
2025-01-07,manipur,795149,2259.0,49.72702355460385,2259.0,"imphaleast, senapati, thoubal, ukhrul, bishnupur"
2025-01-03,telangana,500055,3242.0,49.52245142830772,3242.0,"hyderabad, medchalmalkajgiri, rangareddy, kvrangareddy"
2025-06-01,chhatisgarh,494226,16942.0,49.478365569360825,16942.0,"kondagaon, gariyaband, bastar"
2025-01-03,punjab,152022,2204.0,48.7392391733579,2204.0,"fazilka, ferozepur, srimuktsarsahib"
2025-01-03,jharkhand,825406,4686.0,47.90167126399481,4686.0,"chatra, hazaribagh"
2025-01-03,jharkhand,816104,3488.0,47.58616769303647,3488.0,"pakur, sahibganj, godda"
2025-01-06,chhatisgarh,491665,2775.0,47.58299890550894,2775.0,"balod, rajnandgaon, mohlamanpurambagarhchowki"
2025-01-06,chhatisgarh,491885,5730.0,46.87375635640062,5730.0,"rajnandgaon, khairagarhchhuikhadangandai"
2025-01-06,chhatisgarh,497335,6760.0,46.86768264765518,6760.0,"koriya, manendragarhchirmiribharatpur"
2025-01-06,chhatisgarh,491444,5253.0,46.345043310875845,5253.0,"rajnandgaon, khairagarhchhuikhadangandai"
2025-01-03,jharkhand,816102,4333.0,46.23978539001238,4333.0,"godda, pakur, sahibganj"
2025-01-03,mizoram,796901,2216.0,46.20404858299595,2216.0,"lawngtlai, saiha"
2025-01-03,uttarpradesh,202411,3626.0,45.73494124161693,3626.0,"moradabad, rampur, sambhal"
2025-01-07,westbengal,733132,2742.0,44.6294952161003,2742.0,"dakshindinajpur, uttardinajpur"
2025-01-03,bihar,848201,4866.0,44.467362924281986,4866.0,"begusarai, khagaria"
2025-01-06,telangana,500090,2335.0,43.88299484692331,2335.0,"medchalmalkajgiri, rangareddy, kvrangareddy"
2025-01-06,assam,783372,1438.0,43.66534872687015,1438.0,"bongaigaon, chirang, kokrajhar"
2025-01-03,telangana,505122,1414.0,43.46024191949237,1414.0,"karimnagar, hanumakonda"
2025-01-07,gujarat,382421,2073.0,43.301948558067025,2073.0,"ahmedabad, gandhinagar"
2025-01-03,uttarpradesh,243638,5957.0,43.195560017849175,5957.0,"budaun, sambhal"
2025-01-03,mizoram,796261,1424.0,43.12917421692985,1424.0,"aizawl, champhai, saitual"
2025-01-07,rajasthan,321204,4889.0,43.039222522444,4889.0,"bharatpur, deeg"
2025-01-03,jharkhand,825312,4725.0,42.68172194777699,4725.0,"bokaro, hazaribagh"
2025-01-06,chhatisgarh,496223,4024.0,42.60395390237046,4024.0,"jashpur, surguja"
