state,total_enrolments,total_updates,enrol_child,bio_child,total_population,population_06,saturation_rate,update_burden,child_inclusion_proxy
mizoram,4608.0,128828.0,1007.0,77409.0,1097206,168531,0.004199758295160617,0.11741459671201215,0.4652884912064178
manipur,9996.0,326042.0,6032.0,125517.0,2855794,375357,0.003500252469190705,0.11416859899558582,0.3504627582201525
delhi,79032.0,1820618.0,18730.0,446566.0,16787941,2012454,0.0047076648649170254,0.10844796273706228,0.23120815123816432
chhatisgarh,78860.0,2768644.0,14439.0,459059.0,25545198,3661689,0.0030870772659503365,0.1083821703006569,0.12931132892189126
chandigarh,2021.0,107560.0,147.0,44879.0,1055450,119434,0.0019148230612534938,0.10190913828224928,0.37699166910872023
madhyapradesh,388694.0,6224172.0,91680.0,2657393.0,72626809,10809395,0.005351935536641848,0.08570074998063043,0.25432253569024577
tripura,8941.0,297943.0,2877.0,119669.0,3673917,458014,0.002433642349568594,0.08109682390756241,0.26755892274270493
andhrapradesh,88852.0,3981920.0,8666.0,1860680.0,49338786,5333301,0.0018008550109035921,0.08070567443633493,0.350504434213551
maharashtra,280127.0,8663338.0,60447.0,2341599.0,112374333,13326517,0.0024928023377010834,0.07709356548527857,0.18024558252950995
haryana,74338.0,1811510.0,6761.0,518969.0,25351462,3380721,0.002932296370126504,0.07145583950937426,0.1555082020941089
jharkhand,115854.0,2286667.0,42027.0,712210.0,32988134,5389495,0.0035119900992278013,0.06931786441755086,0.13994573889654988
uttarakhand,27432.0,663311.0,3832.0,210093.0,10086292,1355814,0.0027197308981338235,0.0657636126338599,0.15778332589623215
punjab,58065.0,1809871.0,9788.0,533759.0,27743338,3076219,0.002092934887647622,0.06523623797540151,0.1766931493846344
lakshadweep,136.0,4181.0,6.0,1706.0,64473,7255,0.002109410140679044,0.06484885145719914,0.23594266813671444
tamilnadu,152833.0,4470995.0,26050.0,1582674.0,72147030,7423832,0.002118354698731188,0.061970603640926034,0.21669722365791363
jammuandkashmir,36099.0,756976.0,5650.0,272451.0,12267013,6608718,0.0029427701755920534,0.06170825774783152,0.04208092370094719
rajasthan,257330.0,4227565.0,80820.0,1454322.0,68548437,10649504,0.0037539878553321353,0.061672668043474134,0.14415148873116637
dadraandnagarhavelianddamananddiu,1451.0,36068.0,216.0,12359.0,586956,77829,0.0024720762714752044,0.06144923980673168,0.16157008865476039
odisha,79361.0,2422681.0,14492.0,925796.0,41974218,5273194,0.0018907082438081395,0.05771831175032254,0.17831466501807727
telangana,92231.0,2032696.0,17172.0,676684.0,35241990,3809500,0.0026170769584804945,0.05767824121169094,0.1821382905530147
bihar,461735.0,5924595.0,255930.0,1785558.0,104099452,19133964,0.00443551806593564,0.05691283562184362,0.10669445668997513
gujarat,233899.0,3384401.0,60162.0,1151128.0,60439692,7777262,0.0038699568488866553,0.05599633102035,0.15574759398004157
uttarpradesh,795238.0,10937974.0,367875.0,4720465.0,199812341,30791331,0.00397992434311152,0.05474123342561709,0.16525235088888002
himachalpradesh,12629.0,363718.0,401.0,134566.0,6864602,777898,0.0018397279259598736,0.052984572157278746,0.17350195848047112
nagaland,12614.0,104122.0,7972.0,23227.0,1978502,291071,0.00637553057818491,0.0526266842287751,0.10718653803869833
puducherry,2193.0,62943.0,124.0,18454.0,1247953,132858,0.001757277717990982,0.05043699562403392,0.1398324539549447
arunachalpradesh,2999.0,69156.0,1483.0,28877.0,1383727,212188,0.0021673350306816302,0.049978066482767196,0.14307999000890714
andamanandnicobarislands,383.0,18894.0,20.0,8662.0,380581,40878,0.0010063560713750818,0.04964514781347466,0.21238288607842656
kerala,54272.0,1556229.0,12795.0,514989.0,33406061,3472955,0.0016246153654571845,0.0465852289499202,0.15196967655219357
sikkim,1614.0,28431.0,758.0,10325.0,610577,64111,0.0026434012417762215,0.04656415161396515,0.1728693536311455
karnataka,176329.0,2833761.0,27606.0,954160.0,61095297,7161033,0.002886130498719075,0.04638263727566461,0.13709835758355568
goa,1579.0,65921.0,177.0,24970.0,1458545,144611,0.0010825857275572573,0.04519641149227484,0.17389289962105495
westbengal,247905.0,3653404.0,58396.0,817775.0,91276115,10581466,0.0027159898293217235,0.04002584904057321,0.08280241293574889
meghalaya,100734.0,118522.0,49322.0,29755.0,2966889,568536,0.03395273635110717,0.039948242081183354,0.1390885729512767
assam,190737.0,1131627.0,54580.0,439294.0,31205576,4638130,0.006112273011720726,0.03626361519492542,0.1064812529012225
ladakh,463.0,7293.0,75.0,1879.0,274289,31944,0.0016880006124926628,0.0265887439890043,0.06116763186727187
