state,dedup_friction_score,privacy_exposure_index,operational_inefficiency_flag
andamanandnicobarislands,5.869326818675353,1.627041813311743,33
andhrapradesh,8.100722986481378,4.165935842068516,5209
arunachalpradesh,6.910084822116916,2.9253669084614335,108
assam,4.788311573808394,5.600412709505915,952
bihar,23.62950476895633,15.23215954373083,4822
chandigarh,13.274879505335381,11.492838046630332,76
chhatisgarh,48.756268822370096,17.716891376379127,1794
dadraandnagarhavelianddamananddiu,19.77227976816546,5.990049505709323,29
delhi,62.26818247391681,31.355350657967648,599
goa,6.575629186816036,1.895296647345044,85
gujarat,15.256336119228283,5.738599010227081,3459
haryana,29.27911578109516,11.271612081389936,1521
himachalpradesh,7.1464295002706875,1.7318822686606619,447
jammuandkashmir,17.582129329139434,5.473040284058445,823
jharkhand,28.869074036982838,11.291331964529814,1656
karnataka,10.123777727307212,4.142831849437089,3683
kerala,9.482262284052918,2.404304487056781,2488
ladakh,3.74417652411283,3.570872552970903,9
lakshadweep,4.847896825396825,0.7607945956160242,2
madhyapradesh,29.74272789389383,10.488733343399835,3794
maharashtra,32.36323581234436,9.572142001201525,7681
manipur,14.256762721472478,13.116505199976432,326
meghalaya,3.05801881125089,5.71092812182498,54
mizoram,9.812619451428539,3.774634511984018,146
nagaland,15.004461033510692,2.6878221049498037,102
odisha,15.18337811748632,3.9690437630198456,3550
puducherry,11.310912353933483,2.845828619039067,83
punjab,21.260002821324413,5.625211032435739,1927
rajasthan,17.952743109584546,9.006873668702546,4167
sikkim,5.406365661442916,3.886867331551903,41
tamilnadu,12.801984838308552,3.772574900795603,6151
telangana,8.447272055744596,6.170937061140585,2277
tripura,16.380307094611947,4.7280473204588995,406
uttarakhand,12.239307890332212,5.6455506987210455,682
uttarpradesh,14.82497755200841,15.456019271379041,8576
westbengal,10.033085166114747,9.169212066960718,3949
